---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,sign,65,172799,80
ML-DSA,sign,65,139129,81
ML-DSA,sign,65,214462,82
ML-DSA,sign,65,315358,83
ML-DSA,sign,65,105463,84
ML-DSA,sign,65,206409,85
ML-DSA,sign,65,105430,86
ML-DSA,sign,65,289706,87
ML-DSA,sign,65,255863,88
ML-DSA,sign,65,281735,89
ML-DSA,sign,65,307520,90
ML-DSA,sign,65,255920,91
ML-DSA,sign,65,105434,92
ML-DSA,sign,65,372709,93
ML-DSA,sign,65,354973,94
ML-DSA,sign,65,255916,95
ML-DSA,sign,65,139104,96
ML-DSA,sign,65,297539,97
ML-DSA,sign,65,465623,98
ML-DSA,sign,65,1140810,99
ML-DSA,sign,65,105463,100
# SUMMARY ML-DSA sign 65: mean=251466 min=105430 max=1140810 stddev=167872.3 cv=66.76% (n=100)
ML-DSA,verify,65,70702,1
ML-DSA,verify,65,70825,2
ML-DSA,verify,65,70814,3
ML-DSA,verify,65,70771,4
ML-DSA,verify,65,70789,5
ML-DSA,verify,65,70787,6
ML-DSA,verify,65,70788,7
ML-DSA,verify,65,70802,8
ML-DSA,verify,65,70773,9
ML-DSA,verify,65,70793,10
ML-DSA,verify,65,70786,11
ML-DSA,verify,65,70781,12
ML-DSA,verify,65,70786,13
ML-DSA,verify,65,70770,14
ML-DSA,verify,65,70799,15
ML-DSA,verify,65,70788,16
ML-DSA,verify,65,70781,17
ML-DSA,verify,65,70785,18
ML-DSA,verify,65,70790,19
ML-DSA,verify,65,70779,20
ML-DSA,verify,65,70803,21
ML-DSA,verify,65,70801,22
ML-DSA,verify,65,70783,23
ML-DSA,verify,65,70806,24
ML-DSA,verify,65,70802,25
ML-DSA,verify,65,70803,26
ML-DSA,verify,65,70774,27
ML-DSA,verify,65,70797,28
ML-DSA,verify,65,70785,29
ML-DSA,verify,65,70790,30
# SUMMARY ML-DSA verify 65: mean=70788 min=70702 max=70825 stddev=20.2 cv=0.03%
# CORRECTNESS: ML-DSA-65 signature verifies OK
# STACK ML-DSA keygen 65: 60912 bytes (avail=186760)
# STACK ML-DSA sign 65: 79480 bytes (avail=186760)
# STACK ML-DSA verify 65: 57600 bytes (avail=186760)
# --- ML-DSA-87 (FIPS 204) ---
# PK=2592 SK=4896 SIG=4627 bytes
ML-DSA,keygen,87,112481,1
ML-DSA,keygen,87,112574,2
ML-DSA,keygen,87,112028,3
ML-DSA,keygen,87,112021,4
ML-DSA,keygen,87,111780,5
ML-DSA,keygen,87,111530,6
ML-DSA,keygen,87,112026,7
ML-DSA,keygen,87,111067,8
ML-DSA,keygen,87,112251,9
ML-DSA,keygen,87,111055,10
ML-DSA,keygen,87,111545,11
ML-DSA,keygen,87,112262,12
ML-DSA,keygen,87,111310,13
ML-DSA,keygen,87,111058,14
ML-DSA,keygen,87,112251,15
ML-DSA,keygen,87,111059,16
ML-DSA,keygen,87,111304,17
ML-DSA,keygen,87,111787,18
ML-DSA,keygen,87,111304,19
ML-DSA,keygen,87,111067,20
ML-DSA,keygen,87,112243,21
ML-DSA,keygen,87,111777,22
ML-DSA,keygen,87,110815,23
ML-DSA,keygen,87,111769,24
ML-DSA,keygen,87,112253,25
ML-DSA,keygen,87,111532,26
ML-DSA,keygen,87,112499,27
ML-DSA,keygen,87,111539,28
ML-DSA,keygen,87,112265,29
ML-DSA,keygen,87,111298,30
# SUMMARY ML-DSA keygen 87: mean=111725 min=110815 max=112574 stddev=507.8 cv=0.45%
ML-DSA,sign,87,165344,1
ML-DSA,sign,87,224682,2
ML-DSA,sign,87,165282,3
ML-DSA,sign,87,273430,4
ML-DSA,sign,87,165259,5
ML-DSA,sign,87,224603,6
ML-DSA,sign,87,982329,7
ML-DSA,sign,87,273534,8
ML-DSA,sign,87,668249,9
ML-DSA,sign,87,165299,10
ML-DSA,sign,87,311907,11
ML-DSA,sign,87,165259,12
ML-DSA,sign,87,284030,13
ML-DSA,sign,87,165286,14
